,Platform,Genre,Publisher,NA_Sales,Critic_Score,Critic_Count,User_Score,Year_of_Sales
311,PS2,Sports,Activision,2.29,90.0,38.0,8.7,13.0
312,3DS,Role-Playing,Nintendo,0.68,86.0,80.0,8.7,2.0
313,PC,Role-Playing,Bethesda Softworks,1.16,94.0,32.0,8.1,5.0
314,PS4,Sports,Take-Two Interactive,2.49,87.0,51.0,6.7,1.0
315,PS2,Fighting,Namco Bandai Games,0.93,88.0,62.0,8.6,11.0
317,PS3,Racing,Sony Computer Entertainment,1.53,84.0,9.0,7.4,10.0
319,PS2,Sports,Konami Digital Entertainment,0.16,91.0,26.0,9.1,12.0
320,PS3,Sports,Sony Computer Entertainment,2.13,76.0,64.0,7.9,6.0
323,PS4,Shooter,Activision,1.78,78.0,49.0,3.7,3.0
324,DS,Misc,Nintendo,0.86,59.0,22.0,4.0,9.0
325,PS4,Shooter,Ubisoft,1.35,80.0,64.0,7.0,0.0
326,Wii,Misc,Nintendo,1.05,68.0,33.0,6.9,9.0
329,X360,Action,Activision,2.4,77.0,60.0,7.5,8.0
330,PC,Simulation,Electronic Arts,2.03,79.0,21.0,8.0,14.0
332,PS,Action,Electronic Arts,1.37,64.0,11.0,7.5,15.0
335,Wii,Platform,Nintendo,1.95,85.0,56.0,7.9,9.0
336,PS,Platform,Sony Computer Entertainment,1.93,91.0,15.0,8.8,16.0
337,PS3,Action,Ubisoft,1.33,88.0,36.0,8.1,3.0
338,PS2,Sports,Electronic Arts,0.58,81.0,27.0,7.6,12.0
341,PS2,Sports,Activision,2.13,94.0,27.0,8.5,14.0
343,DS,Simulation,Electronic Arts,1.58,67.0,15.0,7.3,9.0
344,PSP,Racing,Take-Two Interactive,1.65,74.0,34.0,8.4,11.0
346,PS2,Shooter,Sony Computer Entertainment,2.53,82.0,42.0,7.9,14.0
347,PS2,Platform,Sony Computer Entertainment,2.08,90.0,35.0,8.7,15.0
349,PS2,Sports,Konami Digital Entertainment,0.05,82.0,10.0,7.9,9.0
350,PS2,Action,Capcom,2.08,96.0,38.0,8.9,11.0
351,Wii,Misc,Activision,2.32,86.0,18.0,7.6,8.0
352,PS3,Sports,Electronic Arts,0.6,91.0,56.0,7.6,7.0
353,PS2,Shooter,LucasArts,1.93,82.0,36.0,8.7,12.0
355,PS2,Racing,Electronic Arts,2.02,64.0,23.0,7.7,15.0
356,GC,Action,Nintendo,2.38,78.0,34.0,8.5,15.0
357,PS4,Shooter,Electronic Arts,1.35,85.0,18.0,6.9,3.0
358,PS2,Shooter,LucasArts,2.18,84.0,30.0,9.0,11.0
360,DS,Simulation,505 Games,1.6,70.0,39.0,8.0,9.0
363,PS2,Action,Take-Two Interactive,1.56,78.0,49.0,7.8,10.0
364,PS2,Action,Sony Computer Entertainment,1.23,72.0,49.0,6.8,14.0
366,PS2,Shooter,Electronic Arts,1.9,72.0,27.0,7.9,15.0
369,X360,Sports,Electronic Arts,0.71,88.0,66.0,7.5,6.0
371,X360,Shooter,Electronic Arts,2.66,89.0,67.0,7.9,8.0
373,XOne,Action,Ubisoft,2.27,72.0,59.0,4.1,2.0
375,X360,Action,Capcom,2.11,83.0,91.0,7.5,7.0
376,X360,Action,Ubisoft,2.85,89.0,81.0,8.3,6.0
378,PS3,Shooter,Electronic Arts,1.3,80.0,14.0,5.8,3.0
379,X360,Action,Eidos Interactive,2.2,92.0,78.0,8.7,7.0
380,X360,Shooter,Electronic Arts,2.15,79.0,21.0,5.6,3.0
381,X360,Shooter,Electronic Arts,2.1,88.0,75.0,8.6,6.0
383,DS,Misc,Activision,2.1,71.0,70.0,8.8,8.0
384,DS,Misc,Nintendo,0.59,83.0,30.0,8.4,10.0
386,X360,Shooter,Take-Two Interactive,2.4,84.0,83.0,8.2,7.0
387,PS2,Fighting,Namco Bandai Games,1.55,79.0,23.0,8.3,14.0
389,PS,Action,Take-Two Interactive,1.13,70.0,15.0,8.0,18.0
390,PS4,Action,Konami Digital Entertainment,1.09,93.0,86.0,8.2,1.0
391,PS2,Action,Activision,1.75,80.0,50.0,8.9,12.0
393,PS2,Sports,Electronic Arts,0.46,88.0,15.0,6.7,14.0
394,PS3,Platform,Sony Computer Entertainment,1.83,91.0,86.0,8.4,5.0
395,PS,Misc,Sony Computer Entertainment,1.56,68.0,12.0,8.2,16.0
396,PS4,Action,Ubisoft,0.81,76.0,86.0,6.8,1.0
397,X360,Action,Warner Bros. Interactive Entertainment,2.04,76.0,49.0,7.9,8.0
398,XOne,Shooter,Activision,2.14,75.0,11.0,5.5,2.0
401,PS3,Shooter,Ubisoft,0.88,90.0,32.0,8.5,4.0
404,PS2,Shooter,Electronic Arts,1.45,77.0,20.0,8.5,14.0
407,PS2,Action,LucasArts,1.47,60.0,34.0,7.2,11.0
408,DS,Action,Nintendo,1.4,87.0,75.0,7.8,7.0
409,PS2,Shooter,Take-Two Interactive,1.99,80.0,21.0,8.5,15.0
410,X360,Action,Ubisoft,1.9,86.0,35.0,7.9,3.0
411,PS2,Action,Electronic Arts,1.5,85.0,31.0,8.7,13.0
413,XOne,Shooter,Microsoft Game Studios,2.61,82.0,74.0,7.5,1.0
414,PS2,Action,Activision,1.89,77.0,39.0,8.0,13.0
415,DS,Puzzle,Nintendo,0.6,86.0,62.0,9.2,8.0
417,XOne,Sports,Electronic Arts,0.89,84.0,45.0,4.4,1.0
418,Wii,Misc,Nintendo,1.35,63.0,43.0,4.6,8.0
420,PS4,Sports,Electronic Arts,2.34,83.0,37.0,5.9,1.0
421,PS3,Racing,Sony Computer Entertainment,0.72,81.0,81.0,7.7,3.0
422,XOne,Shooter,Microsoft Game Studios,1.91,85.0,69.0,7.2,2.0
424,WiiU,Platform,Nintendo,1.18,88.0,85.0,8.7,1.0
429,PSP,Action,Sony Computer Entertainment,1.48,91.0,79.0,8.6,8.0
430,PS2,Action,Atari,1.78,62.0,30.0,8.1,13.0
431,PSP,Role-Playing,Square Enix,1.35,83.0,67.0,8.0,9.0
432,X360,Misc,MTV Games,2.15,82.0,63.0,7.6,6.0
433,PS3,Adventure,Take-Two Interactive,1.27,89.0,78.0,7.7,5.0
434,PS2,Simulation,Sony Computer Entertainment Europe,2.06,89.0,22.0,9.1,15.0
435,GC,Simulation,Nintendo,1.92,87.0,42.0,8.9,15.0
436,PS2,Sports,Electronic Arts,0.68,83.0,12.0,6.5,9.0
438,PS,Action,Activision,1.7,87.0,19.0,9.0,16.0
439,Wii,Misc,Nintendo,1.06,73.0,45.0,6.8,4.0
442,DS,Platform,Sega,1.21,82.0,43.0,8.5,11.0
444,DS,Misc,Nintendo,0.55,83.0,48.0,9.0,8.0
445,PS3,Role-Playing,Bethesda Softworks,1.52,82.0,57.0,7.8,6.0
446,DS,Misc,Nintendo,0.9,81.0,12.0,7.8,10.0
447,PS3,Role-Playing,Ubisoft,1.69,93.0,45.0,8.0,9.0
448,3DS,Action,Nintendo,1.4,91.0,81.0,8.9,3.0
449,PS3,Shooter,Capcom,0.88,74.0,34.0,5.4,4.0
450,X360,Role-Playing,Electronic Arts,1.99,96.0,98.0,8.9,6.0
451,PS2,Fighting,Atari,2.17,67.0,28.0,7.9,14.0
452,PS2,Sports,Electronic Arts,2.5,94.0,23.0,7.9,15.0
455,PC,Simulation,Electronic Arts,1.72,75.0,18.0,7.8,14.0
457,3DS,Simulation,Nintendo,0.51,66.0,60.0,6.9,1.0
458,PC,Simulation,Electronic Arts,1.0,70.0,74.0,3.9,2.0
459,X360,Shooter,Take-Two Interactive,1.89,89.0,59.0,8.2,4.0
460,DS,Action,Warner Bros. Interactive Entertainment,1.75,72.0,16.0,8.0,8.0
461,X360,Action,Activision,1.91,75.0,42.0,7.4,8.0
462,X360,Role-Playing,Electronic Arts,1.94,93.0,74.0,5.8,4.0
463,PS3,Adventure,Sony Computer Entertainment,1.29,87.0,107.0,7.7,6.0
465,X360,Action,THQ,1.94,81.0,75.0,8.1,8.0
466,XB,Action,Ubisoft,1.85,93.0,46.0,8.5,14.0
469,PS4,Sports,Electronic Arts,0.61,87.0,26.0,6.3,3.0
470,PS3,Shooter,Sony Computer Entertainment,1.4,91.0,94.0,8.1,7.0
471,X360,Shooter,Ubisoft,1.38,91.0,39.0,8.6,4.0
472,Wii,Platform,Disney Interactive Studios,2.04,73.0,78.0,7.0,6.0
473,X360,Sports,Take-Two Interactive,2.6,88.0,41.0,7.2,4.0
474,PS2,Fighting,Atari,1.15,73.0,24.0,9.2,9.0
477,PC,Misc,Electronic Arts,1.67,82.0,23.0,6.6,16.0
478,PS2,Sports,Konami Digital Entertainment,0.12,93.0,24.0,9.1,14.0
479,PS2,Action,Capcom,1.36,94.0,37.0,8.5,15.0
480,PC,Role-Playing,Electronic Arts,1.58,85.0,73.0,5.9,5.0
481,PS4,Action,Warner Bros. Interactive Entertainment,1.01,84.0,85.0,8.1,2.0
482,PS2,Platform,Sega,1.04,64.0,29.0,7.8,13.0
483,PS2,Action,Eidos Interactive,1.36,85.0,19.0,7.8,14.0
484,XOne,Shooter,Electronic Arts,1.84,86.0,68.0,6.4,2.0
485,PS3,Shooter,Electronic Arts,1.33,88.0,59.0,8.5,6.0
487,PS2,Shooter,Sony Computer Entertainment,2.22,87.0,42.0,9.0,13.0
489,GBA,Puzzle,Atari,2.07,79.0,13.0,7.8,15.0
490,X360,Fighting,Capcom,1.82,93.0,77.0,7.3,7.0
491,PS3,Action,Sony Computer Entertainment,1.76,85.0,98.0,8.3,7.0
492,DS,Platform,Nintendo,1.55,76.0,40.0,8.8,8.0
493,XOne,Shooter,Activision,1.88,78.0,7.0,4.3,3.0
496,X360,Role-Playing,Microsoft Game Studios,1.83,91.0,74.0,8.7,9.0
497,PS2,Misc,Sega,1.54,73.0,21.0,8.6,12.0
498,PS2,Sports,Konami Digital Entertainment,0.08,93.0,28.0,9.0,13.0
499,X360,Sports,Sega,1.75,67.0,45.0,6.8,8.0
500,PS2,Sports,Sony Computer Entertainment,0.99,85.0,30.0,8.9,15.0
501,Wii,Simulation,505 Games,1.41,61.0,37.0,5.3,9.0
502,PS2,Shooter,Activision,1.51,76.0,49.0,7.7,12.0
503,Wii,Puzzle,Nintendo,0.86,83.0,61.0,7.4,10.0
507,X360,Sports,Electronic Arts,2.53,81.0,36.0,5.8,4.0
508,XB,Role-Playing,Ubisoft,2.09,87.0,34.0,8.7,14.0
509,PS4,Action,Ubisoft,1.07,83.0,29.0,7.8,3.0
